memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], name, pci.bus_id, compute_mode, fan.speed [%], pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], uuid
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 41, 13.84 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 41, 14.53 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 41, 14.44 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 41, 14.29 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 41, 14.29 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 40, 14.29 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 40, 13.84 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 40, 13.64 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 40, 13.54 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 40, 13.63 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 40, 13.73 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 39, 14.44 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 39, 13.73 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 39, 13.54 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 39, 13.89 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 39, 13.64 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 13.89 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 13.74 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 13.73 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 13.73 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
