memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], name, pci.bus_id, compute_mode, fan.speed [%], pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], uuid
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 26, 12.90 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 31, 25.54 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 29, 24.78 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 29, 23.86 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 26, 13.40 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 31, 25.45 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 29, 24.78 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 29, 23.86 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 26, 13.06 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 31, 25.54 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 29, 24.78 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 29, 23.86 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 26, 12.81 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 31, 25.45 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 29, 24.78 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 29, 23.86 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 26, 13.16 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 31, 25.54 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 29, 24.78 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-85ff40d9-2e09-5dfa-8b20-03c3c057b36f
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 29, 23.86 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-387903b2-9038-af0a-c0f4-b2b795abc1ca
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 26, 13.40 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-93b9facf-f6ac-5bfa-0677-aafebb5728b6
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 31, 25.45 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-51a7971b-42d2-21bc-5ded-9005041ec508
