memory.total [MiB], memory.used [MiB], utilization.gpu [%], name, pci.bus_id
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 199 MiB, 2 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 217 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 243 MiB, 1 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 271 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 289 MiB, 1 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 317 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 373 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 429 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 495 MiB, 1 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 583 MiB, 1 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 583 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 583 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 583 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 583 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 583 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 583 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 583 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 667 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 677 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 705 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 771 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 811 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 815 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 859 MiB, 1 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 1057 MiB, 3 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 39 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 37 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 46 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2065 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 26 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 32 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 53 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 47 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 31 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 23 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 57 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 40 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 1 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 47 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 30 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 49 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 17 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 47 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 29 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 2067 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
