memory.total [MiB], memory.used [MiB], utilization.gpu [%], name, pci.bus_id
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 0 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 370 MiB, 5 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 378 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 398 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 434 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 458 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 492 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 532 MiB, 1 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 562 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 604 MiB, 1 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 646 MiB, 1 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 710 MiB, 1 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 758 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 758 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 758 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 758 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 758 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 758 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 758 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 758 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 758 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 840 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 846 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 870 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 894 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 940 MiB, 1 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 946 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 954 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 970 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1112 MiB, 3 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1330 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1892 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
