memory.total [MiB], memory.used [MiB], utilization.gpu [%], name, pci.bus_id
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:06:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:2F:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:D8:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:06:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:2F:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:D8:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:06:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:2F:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:D8:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:06:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:2F:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:D8:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:06:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:2F:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:D8:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:06:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:2F:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:D8:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:06:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:2F:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:86:00.0
46080 MiB, 0 MiB, 0 %, Quadro RTX 8000, 00000000:D8:00.0
